FlightDate,"average flights over preceding 3 days"
2018-01-01,15511
2018-01-02,16398.5
2018-01-03,16479.333333333332
2018-01-04,16532.5
2018-01-05,16836.75
2018-01-06,15946
2018-01-07,15920
2018-01-08,15942.75
2018-01-09,15737.75
2018-01-10,16373.75
2018-01-11,16449
2018-01-12,16501
2018-01-13,15715
2018-01-14,15239.75
2018-01-15,15192.75
2018-01-16,14927.5
2018-01-17,15810.75
2018-01-18,16429
2018-01-19,16503.75
2018-01-20,15739
2018-01-21,15572
2018-01-22,15567
2018-01-23,15310
2018-01-24,16166.25
2018-01-25,16471.5
2018-01-26,16504.75
2018-01-27,15743.5
2018-01-28,15574.75
2018-01-29,15564.25
2018-01-30,15307
2018-01-31,16165.75
